,Title,Material List,Items Removed from the bin,Items that need to be Cleaned,Clearly missing items,Worked on by,Notes:
,,14 quarter liter containers,,,8 Celsius thermometers,,
,,20 container lids,,,,,
,,1 250 mL plastic cup,,,,,
,,9 mini flashlights,,,,,
,,18 wooden golf tees,,,,,
,,black plastic sheeting,,,,,
,,white plastic sheeting,,,,,
,,1 kg sand,,,,,
,,1 L potting soil,,,,,
,,14 popsicle sticks,,,,,
,,10 thermometers,,,,,
,,22 gallon ziploc bags,,,,,
,,teacher guide and duplication masters,,,,,
123197,Magnets,94 Craft magnets,1 wooden plack with no magnets,All magnets,More regular magnets,Giancarlo,
,,"7 ""strong mangets""",3 empty cylinders,,,,
,,48 yellow circular magnets,,,,,
,,1 bag of lead shots,,,,,
,,1 box of anti dust chalk,,,,,
,,1 bag of black wires,,,,,
,,1 bag of jumbo craft sticks,,,,,
,,1 bag of yellow tiles,,,,,
,,1 bag of magnets with iron filings,,,,,
,,15 wooden boxes with magnets in between,,,,,
,,1 bag of colored magnets,,,,,
,,1 bag of random stuff,,,,,
,,1 bag of colored magnetic marcles,,,,,
,,1 bag filled with the common type of magnets,,,,,
,,1 adhesive roll,,,,,
,,1 6v battery,,,,,
107188,Environments,1 box of kosher salt,1 bag of misc seeds (unlabeled),,,James Lemuel,
,,2 bags of corn,1 bag of tape and sticky notes,,,,
,,1 bag of popsicle sticks,,,,,
,,1 bag of mini plastic spoons,,,,,
,,"24 clear plastic containers (4 big, 20 small)",,,,,
,,3 plastic containers (not clear),,,,,
,,1 bag of plastic lids (for containers ^^^),,,,,
,,1 can of fish food,,,,,
,,1 bag of barley seed\,,,,,
,,1 pack of clear solo cups,,,,,
,,1 bag of pea seeds,,,,,
,,1 bag of plastic straws ,,,,,
,,1 bag of red radish seeds,,,,,
,,1 bag of clover seeds,,,,,
,,1 bottle of tap water conditioner ,,,,,
,,2 bags of plastic bags,,,,,
,,1 set of construction paper,,,,,
,,1 roll of aluminum foil,,,,,
108145,Environments,1 vial of shrimp eggs,1 bag of misc seeds (unlabeled),,,,
,,"1 bag (clear vials w// lids, peas)",,,,,
,,2 bags of popsicle sticks,,,,,
,,1 bag of tape dispensers,,,,,
,,1 bag of small plastic measuring spoons,,,,,
,,7 plastic bins (w/ lids),,,,,
,,1 bag of plastic container lids,,,,,
,,2 bags of 4 liter bags,,,,,
,,1 bag of peas,,,,,
,,1 bag of beans,,,,,
,,1 vial of radish seeds,,,,,
,,1 fish net,,,,,
,,2 bottles of bromthymol blue,,,,,
,,9 clear plastic containers,,,,,
,,1 turkey baster,,,,,
,,1 bag of clear plastic tubes,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
136208,Lego,7 Toy cars,,,2 cup tops,Giancarlo,
,,1 all orange bag of legos,,,,,
,,1 all grey bag of legos,,,,,
,,1 red/green bag of legos,,,,,
,,1 dark green bag of big rectangle legos,,,,,
,,1 bag of brown square legos,,,,,
,,1 bag of wheel legos,,,,,
,,1 bag of yellow legos,,,,,
,,1 bag of empire legos,,,,,
,,"9 ""complete car"" bags",,,,,
,,1 bag of black legos,,,,,
,,1 bag of white legos,,,,,
,,1 bag of small wheel legos,,,,,
,,1 bags of lime legos,,,,,
,,3 bags of red legos,,,,,
,,2 bags of regular green legos,,,,,
,,13 cup tops,,,,,
,,15 cups,,,,,
,,1 complete cup filled with Legos,,,,,
106910,Of Cabbages & Chemistry,26 chem plates,1 almost empty alcohol bottle,all the containers,,Yaire,
,,12 larger chem plates?,1 sprite bottle w/ sprite?,,,,
,,1 box of detergent,1 peanut container w/ an unknown clear liquid,,,,
,,24 clear solo cups,,,,,
,,1 parade cleanser,,,,,
,,1 boxes of baking soda,,,,,
,,2 shampoo bottles,,,,,
,,1 bottle of lotion,,,,,
,,1 bottle of conditioner,,,,,
,,1 small pinesol bottle,,,,,
,,1 bottle of mouthwash,,,,,
,,1 bottle of lemon juice,,,,,
,,1 Drano,,,,,
,,1 water bottle of drain cleaner,,,,,
,,1 box of kosher salt,,,,,
,,1 box of toothpicks,,,,,
,,2 rolls of rolaids,,,,,
,,1 red cabbage jiffy juice,,,,,
,,1 bottle of glass cleaner,,,,,
,,1 toothpaste,,,,,
,,3 empty liquid containers,,,,,
,,2L containter,,,,,
,,2 dry erase markers,,,,,
,,measuring spoons,,,,,
,,8 bottle caps,,,,,
,,5 funnels,,,,,
,,1 small clear container,,,,,
,,9 waste containers,,,,,
,,1 roll of paper towels,,,,,
,,12 vials for pH scale,,,,,
,,1 molecule model,,,,,
106919,Motion and Design (Kinex Items Only),1 bag of grey endcap,old rubber bands,,new rubber bands,Jake,
,,1 bag of big wheels,,,,,
,,1 bag of big tires,,,,,
,,1 bag of tan endcap with nib,,,,,
,,1 bag of right angled connections,,,,,
,,1 bag of 360 degree connections,,,,,
,,1 bag of straight line connections,,,,,
,,1 bag of 180 degree connections,,,,,
,,1 bag of obtuse angled connections,,,,,
,,1 bag of small wheels,,,,,
,,1 bag of small tires,,,,,
,,1 bag of small green rods,,,,,
,,1 bag of small white rods,,,,,
,,1 bag of medium blue rods,,,,,
,,1 bag of medium yellow rods,,,,,
,,1 bag of big red rods,,,,,
,,1 bag of big grey rods,,,,,
107742,Ocean Currents Kit (1/2),8 pink tubs,,,,,
,,9 packs of markers,,,,,
,,14 packs of crayons,,,,,
,,6 boxes of food dye,,,,,
,,8 expo markers,,,,,
,,2 25 packs of 8 oz lids,,,,,
,,ocean currents packet,,,,,
,,6 water bottles,,,,,
,,1 graduated cylinder,,,,,
,,1 bag of straws,,,,,
,,1 bag of disposable pippettes,,,,,
,,1 pump,,,,,
,,9 inflatable earths,,,,,
,,7 plastic containers,,,,,
,,5 plastic lids,,,,,
,,5 sheet protectors,,,,,
,,3 playdough,,,,,
,,3 squat cups,,,,,
,,5 paper cups,,,,,
,,4 funnels,,,,,
,,1 bag of 4 measuring spoons,,,,,
,,2 bags of 2 of spare cables,,,,,
,,1 1 cup measuring test,,,,,
,,1 bag of 12 wooden popsicle sticks,,,,,
,,4 solid 180 protractors,,,,,
,,1 pack of 40 blue marbles,,,,,
106987,Electric Circuits,1 Fake cardboard battery,2 fashnestock clips,,,Vanessa & Yaire,"3 red carboard boxes, not sure if they need to be thrown out. "
,,26 wires,,,,,
,,20 battery holders,,,,,
,,10 packs of mininature bulbs,,,,,
,,78 Diodes,,,,,
,,72 resistors,,,,,
,,65 black resistors ,,,,,
,,2 roll of wire,,,,,
,,9 rolls of tape,,,,,
,,10 bags of clay,,,,,
,,3 boxs of modeling clay,,,,,
,,14 blue clips,,,,,
,,13 faculty mini bulbs,,,,,
,,500 fahnestock clips,,,,,
,,4 screwdrivers,,,,,
,,4 light bulbs,,,,,
,,4 batteries,,,,,
,,223 gold nail clips,,,,,
,,2 wire clips,,,,,
,,4 brass washers,,,,,
,,1 push switch,,,,,
,,1 bag of undex cards,,,,,
,,9 open&close signs,,,,,
,,1 bag of blank index cards,,,,,
,,1 stack of sticky notes,,,,,
,,2 paper clips,,,,,
107039,Levers and Pulleys,35 half meter sticks,,,7 single wheeled pulleys,Yaire,Probably needs more rubberbands & the rubberbands that are there are pretty old so maybe get new ones
,,14 spring scales,,,1 double wheeled pulley,,
,,11 single wheeled pulleys,,,6 36cm dowels,,
,,1 doubled wheeled pulley,,,12 ropes for pulleys,,
,,22 bottles w/ rocks & hooks,,,Binderclips (medium),,
,,12 36cm dowels ,,,1 transparency spring scale,,
,,12 ropes for pulleys,,,erasers,,
,,4 rolls of duct tape,,,,,
,,1 pack of color coding labels,,,,,
,,6 plastic spoons,,,,,
,,1 bag of rubberbands,,,,,
,,1 bag of paper clips,,,,,
,,1 roll of blue masking tape,,,,,
,,13 cardboard collars,,,,,
106915,Motion and Design (1/1),25 Wooden Blocks,1 pair of really cool glasses,,timers,Jaduh ,"There was no binder for this bin so
 some items may not be needed in the bin!"
,,1 Large Pack of thick Rubber Bands,random stack of note cards,,1 gal plastic pail (goes with lids?),,
,,2 small packs of thick rubber bands,1 bag of loose yellow string,,,,
,,1 small pack of thick rubber bands,1 bag old paper clips,,,,
,,2 Packs of Graph Paper,,,,,
,,50 small gold washers,,,,,
,,300 tiny silver washers,,,,,
,,23 large silver washers,,,,,
,,"11 measuring tapes (seven 150 cm, 
three 100 cm, one 60 in)",,,,,
,,3 Plastic Lids (for 1 gal. plastic pail),,,,,
,,69 large grey wheels,,,,,
,,52 small grey wheels,,,,,
,,39 large black tires,,,,,
,,33 small back tires,,,,,
,,"Stack of Instructions? (building pieces, 
assembling pieces, set up for falling weght system)",,,,,
,,13 bookends,,,,,
,,10 packs of small color pencils (12 in each),,,,,
,,87 grey rods ,,,,,
,,130 red rods ,,,,,
,,64 yellow rods],,,,,
,,121 blue rods ,,,,,
,,158 white rods,,,,,
,,79 green rods ,,,,,
,,122 tan connectors,,,,,
,,84 grey connectors ,,,,,
,,87 orange connectors ,,,,,
,,136 red connectors ,,,,,
,,66 green connectors,,,,,
,,77 yellow connectors,,,,,
,,92 white connectors,,,,,
,,1 pack of propellers (11),,,,,
,,1 pack of circle templates (10,,,,,
,,1 pack of 1 oz cups (10),,,,,
,,1 pack of screw hooks (11),,,,,
,,1 pack of brass eyelets,,,,,
,,1 pack of ticket paper ,,,,,
109896,Microscopic Exploration,1 bag of peanut foam,folded construction paper ,All containers,,Giancarlo,There's white residue prevalent
,,1 bag of straws,plates,,,,
,,1 set of inflatable globe with stand,empty bags,,,,
,,1 box filled with minerals and containers,,,,,
,,4 different sets of tape,,,,,
,,1 stack of construction paper,,,,,
,,6 plastic vials with caps,,,,,
,,2 bags of dried honeybees,,,,,
,,1 bag of chenille stems,,,,,
,,1 bag of lids,,,,,
,,1 xl conatiner,,,,,
,,16 small containers,,,,,
,,1 glass beaker,,,,,
,,1 container with dots,,,,,
,,2 packs of filing folders,,,,,
,,2 sets of teachers pack bags,,,,,
,,1 blue tweezer,,,,,
,,1 container of aluminum sulfate,,,,,
,,2 pippets ,,,,,
,,2 container pippets,,,,,
,,1 antibacterial soap,,,,,
,,1 glass spice container,,,,,
,,1 bag of microscopes,,,,,
,,4 blue film containers,,,,,
,,1 bag of laundry detergent,,,,,
,,1 bag of clear clips,,,,,
108380,Paper Towel Testing,1 load of unused diapers,paper towels that smelled,new sets of paper towels ,new sets of paper towels,Giancarlo,
,,2 sets of teacher papers,,,,,
,,9 pippets,,,,,
,,1 bag full of skinny cylinders,,,,,
,,1 bag of wider cylinders,,,,,
,,4 measuring cups,,,,,
,,1 bag of rubber bands,,,,,
,,1 box and bag of washers,,,,,
,,1 sealed bag of sponges,,,,,
,,6 opened sponges,,,,,
,,4 binder clips,,,,,
,,3 red trays,,,,,
,,7 plastic cups,,,,,
,,1 bag of sterile pippets,,,,,
,,1 set of plastic paper covers,,,,,
,,1 bag of black covers to put washers in,,,,,
,,1 set of paper,,,,,
106921,Motion and Design,1 bag of Crayola colored pencils,empty bags ,,9 cardboard papers,Giancarlo,
,,1 bag of measuring tapes,empty film,,,,
,,1 bag of gray rods,yellow string,,,,
,,6 complete sets of combinations of materials,,,,,
,,2 bags of red rods,,,,,
,,2 bags of yellow rods,,,,,
,,2 bag of blue rod,,,,,
,,1 bag of wheels,,,,,
,,1 bag of rims,,,,,
,,1 bag of red propellers,,,,,
,,1 bag of white rods,,,,,
,,1 bag of washers,,,,,
,,3 bags of brown connectors,,,,,
,,1 bag of white rids,,,,,
,,1 bag of green rods,,,,,
,,5 white tops,,,,,
,,1 bag of grey connectors,,,,,
,,1 cardboard,,,,,
,,1 bag of green connectors,,,,,
,,1 bag of yellow connectors,,,,,
,,1 bag of brass eyelits,,,,,
,,1 bag of toy cars/rubber bands,,,,,
,,9 black ,,,,,
,,1 bag of wrap papers,,,,,
,,1 Scissor,,,,,
107078,More than Magnifiers,1 XXL glass container,,,,Giancarlo,
,,1 yellow wire ,,,,,
,,26 styrofoam cups,,,,,
,,1 bag of flashlights,,,,,
,,1 wire tape,,,,,
,,1 bag of batteries,,,,,
,,1 file of master teacher copies,,,,,
,,6 covered boxes,,,,,
,,1 set of film,,,,,
,,2 sets of convex lenses,,,,,
,,1 red bulb ,,,,,
,,2 tracing pads,,,,,
,,1 satellite with a bulb,,,,,
107014,Electric Circuits,14 laminated pictyures,empty plastic bags,,,Giancarlo,
,,7 keychain flashlights(M),,,,,
,,7 wrenches,,,,,
,,2 bags of B8+B2 connectors,,,,,
,,5 regular flashlights,,,,,
,,1 roll of aluminum foil,,,,,
,,3 keychain flashlights (S),,,,,
,,1 bag of blue connectors,,,,,
,,1 bag of mini lightbulbs,,,,,
,,1 box of minilightbulbs,,,,,
,,6 regular size bulbs,,,,,
,,2 J.Lumi bulbs,,,,,
,,3 bags of Fahnestock clips,,,,,
,,1 1.5V bulb,,,,,
,,1 bag of cotton balls,,,,,
,,1 bag of notecards,,,,,
,,1 bag of brass washers,,,,,
,,1 bag of Nichrome wire,,,,,
,,1 bag of red and white wires,,,,,
,,2 wire tapes,,,,,
,,1 bag of brass clips,,,,,
,,1 box of lamps,,,,,
,,1 bag of playdough,,,,,
,,1 bag of diodes,,,,,
,,1 bag of paperclips,,,,,
,,1 bag of blue playdough on top of wires,,,,,
,,3 wire cutters,,,,,
,,1 bag of rods,,,,,
,,1 bag of casting wires,,,,,
102274,Chemical Reactions,"Plastic Resealable Bag, 6x9",Entire bottom of bin was contaminated,Everything is kind of sticky/grimey,,"James, Jake",
,,"Baking Soda, 16oz",All wet items tossed.,,,,
,,8oz Bottle w/cap,,,,,
,,8 Tall Plastic Bottles (w/lids),,,,,
,,"Calcium Chloride, Pellets, 5lb (almsot empty)",,,,,
,,"3 plastic containers (2 cups, red lids)",,,,,
,,Cap for Gallon Bottle,,,,,
,,1 Medium plastic jar w/ lid,,,,,
,,10mL plastic graduated cylinder (9 ct.),,,,,
,,4 syringes,,,,,
,,1 Bag of Plastic Spoons,,,,,
,,10 Small plastic bottles,,,,,
,,"Phenol Red Sodium Salt, 1g",,,,,
,,1 Plastic container of rocks,,,,,
,,1 Bag of small plastic containers,,,,,
,,1 bottle alcohol solution,,,,,
,,6 medium sized containers (misc.),,,,,
,,"1 Bag of measuring spoons, 5mL",,,,,
,,1 Container of Glow Bracelets ,,,,,
,,1 Set of Handout Copies,,,,,
,,2 Vial w/cap,,,,,
,,1 Jar of Alconox,,,,,
,,1 Pack of Small Plastic Cups,,,,,
,,"Masking Tape, roll",,,,,
106027,FOSS Measurement,One 2-liter container,Straws,,Balance (includes beam and base),Ruben,
,,Two 1/2-liter containers,Plastic Bags,,Balance pointers,,
,,Five 100ml beakers,Student Handouts,,Balance sliders,,
,,12 4oz plastic bottles,Name tents,,"Basin, 8-liter",,
,,Bag full of paper clips,,,Graduated cylinders (50ml),,
,,Bag full of bags,,,,,
,,Small plastic cups,,,,,
,,Plastic container,,,,,
,,unit blocks (big and small),,,,,
,,100 ml containers,,,,,
,,8 small plastic containers w/ lids,,,,,
,,Measuring spoons,,,,,
,,Sponges,,,,,
,,Thermometers,,,,,
,,Post-it notes,,,,,
,,Plastic disks,,,,,
,,Metal disks,,,,,
,,Magnifying glasses,,,,,
,,Gravel,,,,,
102499,FOSS Measurement,1 set of spice measurement spoons,,Cups,4 syringes,Giancarlo,
,,1 cup of gravel,,,Sediments to explore,,
,,1 bag of gravel,,,,,
,,1 box of paperclips,,,,,
,,1 bag of magnifiers,,,,,
,,1 bag of tape measures,,,,,
,,1 bag of balance pointers,,,,,
,,11 vials,,,,,
,,1 bag of sponges,,,,,
,,1 bag of poker chips,,,,,
,,1 bag of balance sliders,,,,,
,,1 bag of mini bags,,,,,
,,1 bag of metal circles,,,,,
,,1 bag of syringes,,,,,
,,3 bags of straws,,,,,
,,1 bag of duct tape,,,,,
,,8 large cups,,,,,
,,14 h20 cups,,,,,
,,1 small cylinder,,,,,
,,92 cups,,,,,
107038,Lever & Pulleys,32 ropes,,,,Yaire,"There is a lose spring scale that might be broken (not sure, could be fixed probably)"
,,6 half meter sticks,,,,,
,,11 spring scales,,,,,
,,10 single wheely pulleys,,,,,
,,3 double wheely pulleys,,,,,
,,18 cardboard collars,,,,,
,,1 pack of color coding labels,,,,,
,,2 delta spring scales,,,,,
,,13 dowels,,,,,
,,10 containers w/ rocks,,,,,
,,8 plastic spoons,,,,,
,,74 binder clips (M),,,,,
,,2 large binder clip,,,,,
,,3 small binder clips,,,,,
,,20 pencil erasers,,,,,
,,1 roll of duct tape,,,,,
,,1 roll of electrical tape,,,,,
,,5 styrofoam cups ,,,,,
,,9 cardboard trays,,,,,
,,33 rubberbands,,,,,
,,1 box of paperclips,,,,,
107093,FOSS Measurement,1 bag of small cubes,,,More sediments for exploration,Giancarlo,
,,1 set of spices,,,6 thermometers,,
,,1 bag of brown blocks,,,,,
,,1 bag of red blocks,,,,,
,,2 bag of sponges,,,,,
,,1 bag of graduated cylinder,,,,,
,,1 box of modeling clay,,,,,
,,1 bag of white balls,,,,,
,,1 bag of yellow blocks,,,,,
,,1 bag of paperclips,,,,,
,,1 bag of wooden squares,,,,,
,,1 bag of thermometers,,,,,
,,8 water bottles,,,,,
,,6 syringes,,,,,
,,2 sticky notes,,,,,
,,1 bag of sliders/pointers,,,,,
,,1 pack of blue measuring spoons,,,,,
,,1 bag of vial drops,,,,,
,,2 bags of gravel,,,,,
,,1 bag of vials,,,,,
,,1 XL cup,,,,,
,,1 bag of medium bags,,,,,
,,1 bag of small bags,,,,,
,,1 bag of magnifiers,,,,,
,,1 bag of poker chips,,,,,
,,1 bag of red plastic cups,,,,,
,,1 beaker,,,,,
,,1 bag of metal circles,,,,,
,,5 medium clear cups,,,,,
,,8 small clear cups,,,,,
,,11 large clear cups,,,,,
,,1 cup with lids,,,,,
,,1 bag of sticky notes,,,,,
107046,Ideas & Inventions Kit,Fingerprint study prints,,,,Yaire,
,,Coffee filters,,,,,
,,36 foss mirrors,,,,,
,,20 washers,,,,,
,,33 plastic containers,,,,,
,,1 pack of food coloring,,,,,
,,1 pack fo 100 index cards,,,,,
,,40 solo plastic lids,,,,,
,,4 pencils,,,,,
,,1 dry erase markers,,,,,
,,36 plastic binder clips,,,,,
,,1 package of matchsticks,,,,,
,,8 12 objects kit,,,,,
,,10 tile slides,,,,,
107014,Electric Circuits,3 wire cutters,,,Packs of batteries,Andrea,
,,1 Bag of cotton balls,,,Blank labels,,
,,2 bags of battery holders,,,Wire pliers,,
,,1 bag of clip wires,,,,,
,,3 bags of fahnestock clips,,,,,
,,2 boxes of light bulbs,,,,,
,,1 bag of paper clips,,,,,
,,1 bag of colored modeling clay,,,,,
,,2 bags of diodes,,,,,
,,1 bag of light bulb holders,,,,,
,,1 bag of mini light bulbs,,,,,
,,1 bag of screwdrivers,,,,,
,,1 box of mini light bulbs,,,,,
,,2 rolls of masking tape,,,,,
,,3 LED bulbs,,,,,
,,1 bag of flashlights,,,,,
,,1 bag of straightened paper clips,,,,,
,,1 bag of index cards,,,,,
,,1 roll of aluminum foil,,,,,
,,1 box of dead light bulbs,****,,,,
,,1 battery,,,,,
,,3 rolls of guage nichtome wire,,,,,
,,2 bags of mini flashlights,,,,,
,,1 roll of nylon casting line,,,,,
,,1 bag of brass fastners,,,,,
,,5 boxes of brass washers,,,,,
,,1 set of laminated signs,,,,,
107096,Of Cabbages and Chemistry,2L Plastic pitcher,old ziploc bags,,plastic tray,Jaduh,
,,1L Plastic Pitcher,3 random card holders,,pine sol cleaner,,
,,1 bottle of lotion,1 bag of bad alcohol,,drano,,
,,1 bottle of hair conditioner,1 bottle of ammonia ,,toothpaste tube,,
,,1 carton of drain cleaner,,,tums,,
,,1 box of Trend powdered detergent,,,mouthwash,,
,,1 container of baking soda,,,salt,,
,,1 container of comet,,,red cabbage jucie,,
,,1 container of rubbing alcohol,,,,,
,,1 bottle of 325mg asprins,,,,,
,,1 set of pictures of materials,,,,,
,,1 bottle of window cleaner,,,,,
,,13 testing trays,,,,,
,,2 bags of small spoons,,,,,
,,"6 bags of small bottles of substances (vinegar,
 drain cleaner, alcohol, saltwater, antacid alcohol)",,,,,
,,10 plastic containers,,,,,
,,8 bottle caps,,,,,
,,1 funnel,,,,,
,,1 roll of paper towels,,,,,
,,"7 bags of neutrals, acids, and bases (unknown)",,,,,
,,1 roll of tape,,,,,
,,2 dry erase marker,,,,,
109887,Paper Towel Testing,2 rolls of toilet paper,,,Pippets,Giancarlo,
,,1 teacher testing pack,,,Diapers,,
,,1 bag of blue measuring spoons,,,Containers to hold water,,
,,3 clear cups,,,Washers,,
,,21 aluminum foil plates,,,Measuring cups,,
,,,,,Objects to compare so that the towels can hold,,
106911,Of Cabbages and Chemistry,20 liquid sample containers,Expired pills,All sample holders,Mouthwash,Giancarlo,
,,1 bag of 6 lids,Expired lemon juice,,Cabbage juice,,
,,1 container of liquid plumer,Empty plastic bags,,Salt,,
,,1 container of vinegar,Containers with no solution,,Toothpaste tube,,
,,1 lemon juicer,,,Plastic trays,,
,,1 bag of snack cups,,,Pine sol cleaner,,
,,2 container of lotion,,,Rubbing alcohol,,
,,1 container of morton salt,,,Lemon juice,,
,,1 set of spice measuring cups ,,,Window cleaner,,
,,1 container of baking soda solution,,,Tape,,
,,1 container of lotion,,,Paper towls,,
,,1 container of red food coloring,,,Aspirin,,
,,1 container of phenolphthalein,,,Lightbulbs,,
,,1 container of bromothymol blue,,,Screwdrivers,,
,,1 container of bleach,,,,,
,,1 bag of syringes,,,,,
,,2 small beakers,,,,,
,,1 xl measuring cup,,,,,
,,1 xxl container,,,,,
,,3 master teacher folders,,,,,
108181,Landforms Kit,11 small plastic containers,"loose papers (old student work, inventory lists, etc.)",,Bright Angel Map,jaduh,one of the foam mountain sets is missing the top piece!
,,10 medium plastic containers,1 styrofoam bowl,,Furnace Creek Map,,
,,36 plastic cups (9 oz),2 old plastic containers,,set of gram pieces,,
,,3 large clear plastic cups,6 random straws,,stream tables,,
,,2 large orange plastic cups,2 ziploc bags,,clay,,
,,"6 foam mountain sets (6 pieces in each set, with dowel)",,,sand,,
,,2 extra dowels,,,,,
,,3 small dowels,,,,,
,,3 wooden planks,,,,,
,,12 vials with plastic caps,,,,,
,,1 pack of graph paper,,,,,
,,1 pack of fine sheets of card board,,,,,
,,1 pack of overlay grids (18),,,,,
,,1 pack of small Mt. Shasta photos (8),,,,,
,,1 pack of small Grand Canyon photos (2),,,,,
,,2 small Death Valley photos,,,,,
,,4 packs of large Mt. Shasta photos (2 per pack),,,,,
,,4 large grid maps of Mt. Shasta,,,,,
,,"11 printed photos of various landforms (glaciers, mountains, water, etc.)",,,,,
,,"1 set of instructions ""How to Build a Mountain""",,,,,
102480,Animal Behavior,all papers and transparencies,,,AA batteries (32),Gideon,"items that don't belong in the kit: pennies, paper clips, small cups, plastic spoons, misc. plastic lids, empty and clean Jif peanut butter container"
,,clothespins (16),,,bran flakes,,
,,cotton swabs (25),,,23 x 30 cm white construction paper (4),,
,,9 oz. plastic cups (23),,,plastic trays (21),,"extra items: cotton swabs (20), 9 oz. cups (7), eyedroppers (44), penlights (2), paper plates (7), petri dishes with lids (4), pipe cleaners (40), ceramic tiles (19)"
,,drinking straws (50),,,8 oz. vinegar,,
,,eyedroppers (60),,,mealworms (1000),,
,,magnifiers (16),,,,,
,,nails (30),,,,,
,,23 x 30 cm black construction paper (5),,,,,
,,white construction paper squares (6),,,,,
,,paper plates (8),,,,,
,,penlights (18),,,,,
,,petri dishes with lids (20),,,,,
,,pipe cleaners (53),,,,,
,,wooden spoon,,,,,
,,scotch tape rolls (2),,,,,
,,ceramic tiles (179),,,,,
,,plastic trays (11),,,,,
106990,Chemical Tests,all papers and transparencies,,,paper trays (4),Gideon,"doesn't belong: sponges (12), FOSS trays (3)"
,,12 oz. plastic cups (15),,,one gallon plastic pails (11),,"extra items: plastic taster spoons (95), eyedroppers (2), wooden clothespins (6), 2 oz. containers (33), 2 oz. lids (51)"
,,50 mL graduated cylinder with stand (1),,,0.5 oz. screw top jars (72),,
,,paper trays (16),,,hand lenses (15),,
,,one gallon plastic pails (4),,,coffee filters (79),,
,,0.5 cm yellow sticker dots (>46),,,60 x 15 mm petri dishes (39),,
,,2 cm green sticker dots (>31),,,1 qt. ziploc bags (71),,
,,0.5 oz. screw top jars (8),,,quarter-cup measuring cup (1),,
,,plastic taster spoons (175),,,1 lb. cornstarch,,
,,boxes of flat toothpicks (approx. 2 in a ziploc bag),,,0.5 cm red sticker dots (46),,
,,hand lenses (15),,,0.5 cm green sticker dots (46),,
,,eyedroppers (17),,,0.5 cm blue sticker dots (46),,
,,coffee filters (21),,,0.5 cm orange sticker dots (46),,
,,60 x 15 mm petri dish (1),,,2 cm red sticker dots (31),,
,,aluminum baking cups (40),,,2 cm yellow sticker dots (31),,
,,aluminum foil (1 roll),,,2 cm blue sticker dots (31),,
,,wooden clothespins (36),,,2 cm orange sticker dots (31),,
,,aluminum pie tin (1),,,brown paper lunch bags (11),,
,,"12 x 18"" white construction paper (30)",,,1 roll wax paper,,
,,blank white labels (63),,,"23 x 31 cm construction paper, assorted color pack",,
,,2 oz. containers (78),,,plastic dropper bottles (114),,
,,lids for 2 oz. containers (96),,,37 mL graduated plastic cups (80),,
,,large funnel (1),,,eight-pack of dry erase markers (2),,
,,small funnel (1),,,votive candles (2),,
,,brown paper lunch bags (4),,,safety matches (1 box),,
,,,,,pink marker,,
,,,,,lime green marker,,
,,,,,blue purple marker,,
,,,,,red food coloring,,
,,,,,yellow food coloring,,
,,,,,blue food coloring,,
,,,,,green food coloring,,
,,,,,1 qt. sugar,,
,,,,,1 qt. alum,,
,,,,,1 qt. talc,,
,,,,,1 qt. baking soda,,
,,,,,1 qt. cornstarch,,
,,,,,250 mL. bottle white vinegar (3),,
,,,,,30 mL. tincture of iodine,,
,,,,,amber bottle (1),,
,,,,,graduated plastic dropper (1),,
,,,,,250 mL red cabbage juice (2),,
,,,,,250 mL. lemon juice,,
,,,,,250 mL. 2% ammonia,,
,,,,,250 mL. 2% rubbing alcohol,,
,,,,,250 mL. 2% detergent,,